Variable Name,Variable Label,Type,Column Number,Values,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject,Subject ,Numeric,1,[1:30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activity,Activity,Character,2,[LAYING|SITTING|STANDING|WALKING|WALKING DOWNSTAIRS|WALKING UPSTAIRS],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tBodyAcc-mean()-X,Mean.-.Time.of.Body.Acceleration.in.X.direction,Numeric,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tBodyAcc-mean()-Y,Mean.-.Time.of.Body.Acceleration.in.Y.direction,Numeric,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tBodyAcc-mean()-Z,Mean.-.Time.of.Body.Acceleration.in.Z.direction,Numeric,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tBodyAcc-std()-X,Standard.Deviation.-.Time.of.Body.Acceleration.in.X.direction,Numeric,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tBodyAcc-std()-Y,Standard.Deviation.-.Time.of.Body.Acceleration.in.Y.direction,Numeric,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tBodyAcc-std()-Z,Standard.Deviation.-.Time.of.Body.Acceleration.in.Z.direction,Numeric,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tGravityAcc-mean()-X,Mean.-.Time.of.Gravity.Acceleration.in.X.direction,Numeric,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tGravityAcc-mean()-Y,Mean.-.Time.of.Gravity.Acceleration.in.Y.direction,Numeric,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
